Marital_status,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_HOUSE_YRS,Age_band,Total_EXP
1,2,0,15,298,0,13,4,2
1,2,0,19,174,19,14,1,22
1,2,0,30,31,28,10,0,18
1,2,1,13,172,25,12,3,22
1,2,0,21,101,25,14,1,17
1,2,1,31,78,27,12,2,11
1,2,0,27,275,2,14,0,16
1,2,0,27,186,25,14,4,2
1,2,0,2,28,25,12,2,12
0,2,0,5,14,14,13,0,16
1,2,0,6,34,25,13,1,22
0,2,0,12,105,0,11,4,18
1,2,0,42,207,14,13,0,2
1,2,0,12,228,19,11,0,6
0,2,0,48,271,1,14,0,18
0,2,1,37,278,28,11,1,28
1,2,0,25,211,14,12,0,25
0,2,1,0,220,18,12,4,0
1,2,0,31,57,28,14,3,23
1,2,1,0,258,17,12,1,17
0,0,0,28,17,19,14,0,26
1,2,0,30,158,5,13,3,12
1,2,0,37,113,2,12,0,27
1,2,0,6,252,7,13,1,0
1,2,0,29,305,14,14,3,23
1,2,1,6,194,6,11,3,14
1,2,0,17,165,20,14,2,16
0,0,1,7,17,19,11,2,2
1,0,0,43,282,5,11,2,24
1,2,0,4,281,9,14,2,22
1,2,0,22,217,28,14,4,14
1,2,0,6,168,28,10,2,0
0,2,0,1,257,22,14,2,31
1,2,0,39,261,2,11,0,14
1,1,0,16,230,19,13,1,26
0,2,0,27,97,6,11,1,28
1,2,1,1,276,14,10,1,9
1,2,1,22,305,14,12,2,18
1,1,0,9,159,2,12,2,14
1,2,1,49,269,13,11,1,2
1,2,1,50,14,14,11,0,0
1,2,0,11,214,5,10,3,14
1,2,0,50,60,20,14,3,10
1,2,0,28,0,0,10,2,32
1,2,1,40,138,25,10,3,29
1,2,0,23,235,22,10,4,25
1,2,0,46,279,20,12,1,14
1,2,0,0,2,25,13,3,30
1,2,1,24,197,14,14,4,14
1,2,0,2,217,28,10,0,18
1,2,0,39,121,28,10,1,10
1,2,1,19,136,25,14,4,6
1,2,0,12,88,4,14,1,27
1,2,0,11,294,12,14,3,8
1,2,0,27,94,25,14,1,18
1,2,0,2,69,2,12,4,16
1,2,0,9,144,14,14,3,24
1,2,0,6,91,22,13,1,18
1,2,1,30,39,28,12,1,31
0,2,0,31,98,6,14,0,8
1,1,0,4,136,25,14,1,9
1,2,0,50,7,14,13,3,4
1,1,1,9,76,2,11,4,24
0,2,1,40,234,0,10,3,24
1,2,0,8,91,22,10,4,2
0,2,0,35,119,11,12,4,21
1,2,1,2,248,10,12,0,16
1,2,1,19,86,1,10,1,2
1,2,0,38,103,28,12,1,16
1,2,0,2,91,22,10,1,22
1,2,0,9,274,7,14,2,2
1,2,1,47,40,17,12,0,0
1,2,0,37,81,10,12,2,22
1,2,0,27,16,14,14,2,16
0,2,1,44,168,28,10,2,26
1,2,0,50,261,2,14,2,16
1,2,1,23,163,12,12,0,25
1,2,1,28,8,12,12,1,4
1,2,0,39,234,0,12,3,10
1,2,0,16,179,23,13,4,6
0,2,0,33,53,13,14,2,26
0,2,0,33,142,0,14,2,10
1,2,0,23,235,22,10,4,25
1,2,0,21,1,24,10,0,14
1,2,0,20,0,0,12,0,13
1,2,1,28,71,28,14,3,12
